D70,r,m,v,,
19.37389997,0.674012261,-0.142857143,-0.553437866,65,3
9.092876333,0.615370633,-0.142857143,0.34545599,66,3
9.980656291,0.498539143,-0.142857143,0.179895561,67,3
7.757254669,0.381372854,-0.142857143,-0.105241991,68,3
5.919932432,0.378535093,-0.142857143,0.471685753,69,3
5.138170881,0.461208727,-0.142857143,-0.065529269,70,3
8.786990384,0.543328299,-0.142857143,0.582004954,71,3
8.31239436,0.695183509,-0.142857143,-0.378872745,72,3
7.05475726,0.695382966,-0.142857143,-0.028838773,73,3
7.448462929,0.703318625,-0.142857143,0.164157307,74,3
3.788535337,0.870080779,-0.142857143,0.051455923,75,3
7.18657081,0.803564814,-0.142857143,0.111110093,76,3
5.933464418,0.331766902,-0.142857143,0.393224514,77,3
6.511036784,0.234161872,-0.142857143,0.155513189,78,3
8.84968361,0.337884785,-0.142857143,0.217741234,79,3
12.76079543,0.842032943,-0.6,0.252140096,80,4
8.474048619,0.723538325,-0.6,0.34545599,81,4
15.49805149,0.726811175,-0.6,0.179895561,82,4
15.74379243,0.71905701,-0.6,-0.105241991,83,4
8.841357362,0.667680317,-0.6,0.471685753,84,4
6.18978998,0.631277811,-0.6,-0.065529269,85,4
3.806849091,0.612837033,-0.6,0.582004954,86,4
7.105554166,0.67098041,-0.6,0.434924784,87,4
13.36688445,0.642675675,-0.6,0.278059149,88,4
10.55761337,0.56190766,-0.6,0.207138658,89,4
5.419077412,0.540851064,-0.6,0.293844078,90,4
4.069643719,0.457498177,-0.6,-0.378872745,91,4
9.21,0.460330928,-0.6,0.526618487,92,4
5.149097008,0.402833163,-0.6,-0.028838773,93,4
6.1193382,0.490773323,-0.6,0.177291688,94,4
4.440833255,0.436967407,-0.6,0.164157307,95,4
4.716608951,0.340672972,-0.6,0.672055476,96,4
7.771891662,0.874326306,-0.6,0.051455923,97,4
8.068742157,0.766535956,-0.6,0.167269692,98,4
12.01199401,0.694435514,-0.6,0.429095339,99,4
7.298328576,0.745409591,-0.6,0.31984501,100,4
8.187795796,0.638746459,-0.6,0.378524607,101,4
6.587252842,0.519549282,-0.6,0.35109535,102,4
12.9149758,0.557440968,-0.6,0.523203552,103,4
8.993464294,0.615187219,-0.6,0.068506999,104,4
3.650273962,0.489628708,-0.6,0.024039586,105,5
10.3316504,0.481203648,-0.6,0.283230671,106,5
8.119039352,0.459528588,-0.6,-0.082149165,107,5
11.75384193,0.543564948,-0.6,0.233249123,108,5
10.39269455,0.491610184,-0.6,0.024757839,109,5
12.34724261,0.486304865,-0.6,0.0379493,110,5
8.355237878,0.514068411,-0.6,-0.396144089,111,5
14.45394064,0.513756667,-0.6,-0.37610716,112,5
10.48347271,0.584765864,-0.6,0.030260449,113,5
15.75328537,0.555091738,-0.6,0.104353985,114,5
13.17451327,0.570188465,-0.6,-0.152173471,115,5
16.15801968,0.623792128,-0.6,-0.201876111,116,5
9.763216683,0.65650817,-0.6,0.174920113,117,5
8.564227928,0.503821404,-0.6,-0.055581466,118,5
16.76493961,0.851814516,-0.6,0.590860127,119,5
12.90478206,0.747769567,-0.6,0.371660406,120,5
12.61899362,0.652160263,-0.6,0.110682522,121,5
10.22927172,0.71141445,-0.6,0.102718597,122,5
15.72835338,0.787273655,-0.6,-0.018179249,123,5
3.945985302,0.801559779,-0.6,0.396588657,124,5
17.08662635,0.759594707,-0.6,0.101868898,125,5
6.307091247,0.705716391,-0.6,0.226905614,126,5
5.125797499,0.631887853,-0.6,0.080377185,127,5
11.74829775,0.653994109,-0.6,0.377702251,128,5
10.47213445,0.676597184,-0.6,0.175132282,129,5
9.972853152,0.594147644,-0.6,0.5189383,130,5
6.733839915,0.543263803,-0.6,-0.092718812,131,5
4.011583229,0.512556854,-0.6,0.010079292,132,5
5.064770479,0.556594682,-0.6,0.032832874,133,5
9.021973177,0.590848993,-0.6,0.100955605,134,5
8.07105941,0.499689053,-0.6,0.092996765,135,5
8.551111039,0.508757189,-0.6,-0.046869256,136,5
6.115423125,0.456171763,-0.6,0.117478829,137,5
9.884492906,0.494492065,-0.6,0.063160088,138,5
10.5894523,0.599594922,-0.6,0.141198437,139,5
11.07079943,0.599748684,-0.6,-0.352141716,140,5
12.89356429,0.64698187,-0.6,-0.435344298,141,5
10.00265965,0.664490373,-0.6,0.316097452,142,5
10.0181086,0.712657829,-0.6,-0.342470476,143,5
10.81021739,0.562912013,-0.6,-0.625489904,144,5
16.58126654,0.752784337,-0.6,0.065617987,145,5
13.14307422,0.658548206,-0.6,0.670870244,146,5
6.489491506,0.526143049,-0.6,-0.262451064,147,5
8.949323997,0.613911728,-0.6,0.212276275,148,5
14.60149992,0.554905323,-0.6,-0.304722048,149,5
14.71022094,0.53086826,-0.6,-0.428875972,150,5
6.59706753,0.838614649,-0.6,0.34545599,151,5
9.224207283,0.870984564,-0.6,0.179895561,152,5
9.020243899,0.90830813,-0.6,-0.105241991,153,5
13.39005228,0.806373506,-0.6,0.265224271,154,5
10.28182863,0.791431933,-0.6,0.050777534,155,5
10.20723273,0.716781762,-0.6,0.178617334,156,5
14.17327767,0.778504323,-0.6,0.059119196,157,5
12.99211299,0.785419744,-0.6,0.519130031,158,5
10.10431096,0.607399047,-0.6,0.307286736,159,5
9.59832277,0.648856975,-0.6,0.28315261,160,5
7.352550578,0.694254686,-0.6,0.379741687,161,5
12.86495239,0.663258773,-0.6,0.204091338,162,5
12.87817922,0.556489855,-0.6,0.145727317,163,5
11.68342416,0.874950324,-0.6,0.393224514,164,5
11.73175179,0.763441835,-0.314285714,0.024039586,165,6
17.45577268,0.713159909,-0.314285714,0.283230671,166,6
9.33133431,0.699131596,-0.314285714,-0.082149165,167,6
23.4978616,0.727200945,-0.314285714,0.233249123,168,6
21.20542383,0.684346909,-0.314285714,0.024757839,169,6
16.25969557,0.667987619,-0.314285714,0.0379493,170,6
10.93901275,0.678698571,-0.314285714,-0.396144089,171,6
18.39460247,0.642194073,-0.314285714,-0.37610716,172,6
20.5148629,0.676448228,-0.314285714,0.030260449,173,6
21.58724623,0.640902224,-0.314285714,-0.015512702,174,6
20.27923075,0.623532139,-0.314285714,0.104353985,175,6
16.0648685,0.590531263,-0.314285714,0.138969263,176,6
9.331489699,0.616929741,-0.314285714,-0.152173471,177,6
23.41090344,0.622351671,-0.314285714,-0.201876111,178,6
